,Alfalfa,Corn-notill,Corn-mintill,Corn,Grass-pasture,Grass-trees,Grass-pasture-mowed,Hay-windrowed,Oats,Soybean-notill,Soybean-mintill,Soybean-clean,Wheat,Woods,Buildings-Grass-Trees-Drives,Stone-Steel-Towers
Alfalfa,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corn-notill,0,456,2,1,0,0,0,0,0,0,0,3,0,0,0,0
Corn-mintill,0,0,240,36,0,0,0,0,0,0,1,0,0,0,0,0
Corn,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0
Grass-pasture,0,0,0,2,194,0,2,0,0,0,0,0,0,27,0,0
Grass-trees,0,0,0,0,0,290,0,0,0,0,0,0,0,0,0,0
Grass-pasture-mowed,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
Hay-windrowed,0,0,0,0,0,0,1,192,0,0,0,0,0,0,0,0
Oats,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
Soybean-notill,0,1,0,0,0,0,0,0,0,307,0,0,0,0,0,0
Soybean-mintill,2,115,88,0,1,2,0,0,0,83,982,46,0,0,0,0
Soybean-clean,0,0,2,2,0,0,1,0,0,0,0,189,0,0,0,0
Wheat,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0
Woods,0,0,0,0,0,0,0,0,0,0,0,0,0,477,0,0
Buildings-Grass-Trees-Drives,0,0,0,0,0,0,0,0,0,0,0,0,0,3,156,0
Stone-Steel-Towers,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,39
